name,causality,variability,unit,kind_hint,depth
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.U,4,4,J,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.Ub,4,4,W,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.V,4,1,m3,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.X_start[1],0,1,1,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.energyDynamics,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.g_n,4,0,m/s2,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.h_start,4,1,J/kg,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.m,4,4,kg,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.massDynamics,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.mb,4,4,kg/s,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.p_start,4,1,Pa,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.showName,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.substanceDynamics,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.traceDynamics,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.use_HeatPort,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.use_T_start,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.use_TraceMassPort,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].data.R_Cab,0,2,Pa/(kg/s),,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].data.T_a_nominal,4,0,K,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].data.ccVolCabinet,0,1,m3,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].data.m_flow_nominal,0,1,kg/s,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].data.p_a_nominal,0,1,Pa,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].dp_inlet.R,4,2,Pa/(kg/s),param_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].dp_inlet.dp,4,4,Pa,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].dp_inlet.dp_display,4,4,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].dp_inlet.m_flow,4,4,kg/s,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].dp_inlet.precision,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].dp_inlet.showDP,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].dp_inlet.showName,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].dp_outlet.R,4,2,Pa/(kg/s),param_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].dp_outlet.dp,4,4,Pa,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].dp_outlet.dp_display,4,4,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].dp_outlet.m_flow,4,4,kg/s,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].dp_outlet.precision,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].dp_outlet.showDP,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].dp_outlet.showName,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_a.h_outflow,4,4,J/kg,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_a.m_flow,4,4,kg/s,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_a.p,4,4,Pa,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_a_nominal.T,4,0,K,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_a_nominal.h,4,1,J/kg,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_a_nominal.m_flow,4,1,kg/s,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_a_nominal.p,4,1,Pa,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_a_start.T,4,0,K,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_a_start.h,4,1,J/kg,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_a_start.m_flow,4,1,kg/s,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_a_start.p,4,1,Pa,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_b.h_outflow,4,4,J/kg,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_b.m_flow,4,4,kg/s,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_b.p,4,4,Pa,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_b_nominal.T,4,0,K,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_b_nominal.h,4,1,J/kg,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_b_nominal.m_flow,4,1,kg/s,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_b_nominal.p,4,1,Pa,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_b_start.T,4,0,K,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_b_start.h,4,1,J/kg,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_b_start.m_flow,4,1,kg/s,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].port_b_start.p,4,1,Pa,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor1.R,4,2,Pa/(kg/s),param_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor1.dp,4,4,Pa,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor1.dp_display,4,4,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor1.m_flow,4,4,kg/s,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor1.precision,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor1.showDP,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor1.showName,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor2.R,4,2,Pa/(kg/s),param_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor2.dp,4,4,Pa,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor2.dp_display,4,4,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor2.m_flow,4,4,kg/s,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor2.precision,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor2.showDP,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor2.showName,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor3.R,4,2,Pa/(kg/s),param_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor3.dp,4,4,Pa,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor3.dp_display,4,4,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor3.m_flow,4,4,kg/s,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor3.precision,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor3.showDP,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor3.showName,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor6.R,4,2,Pa/(kg/s),param_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor6.dp,4,4,Pa,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor6.dp_display,4,4,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor6.m_flow,4,4,kg/s,signal_like,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor6.precision,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor6.showDP,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].resistor6.showName,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].sources.ComputePowerBlade1,4,4,W,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].sources.ComputePowerBlade2,4,4,W,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].sources.ComputePowerBlade3,4,4,W,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].sources.Valve_Stpts[1],4,4,1,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].sources.Valve_Stpts[2],4,4,1,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].sources.Valve_Stpts[3],4,4,1,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].tee.T_start,4,0,K,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].tee.U,4,4,J,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].tee.Ub,4,4,W,,5
